<!---------------------车牌识别结果--------------------->
                                                      文件名                                 车牌区域                 车牌号码

C:\Users\yuanganzhao\Desktop\车牌识别\data\0901075500200000000.jpg     区域(x: 979, y: 977, w: 104, h:  33)            蓝牌-粤KKZ528
C:\Users\yuanganzhao\Desktop\车牌识别\data\0901163400100000000.jpg     区域(x: 521, y: 963, w: 101, h:  29)            蓝牌-粤BK70A9
C:\Users\yuanganzhao\Desktop\车牌识别\data\0901334300100000000.jpg     区域(x: 682, y: 953, w: 106, h:  32)            黄牌-粤K17855
C:\Users\yuanganzhao\Desktop\车牌识别\data\0901374300200000000.jpg     区域(x:1278, y: 932, w: 106, h:  38)            蓝牌-粤KM7396
C:\Users\yuanganzhao\Desktop\车牌识别\data\0901503300200000000.jpg     区域(x:1174, y: 902, w: 106, h:  35)            黄牌-粤K13569
C:\Users\yuanganzhao\Desktop\车牌识别\data\0901504600200000000.jpg     区域(x:1173, y: 983, w:  96, h:  30)            蓝牌-粤KHH939
C:\Users\yuanganzhao\Desktop\车牌识别\data\0903058000200000000.jpg     区域(x: 843, y:1014, w: 103, h:  30)            黄牌-粤K19419
C:\Users\yuanganzhao\Desktop\车牌识别\data\0903058600100000000.jpg     区域(x: 852, y:1072, w: 109, h:  34)            黄牌-粤K19419
C:\Users\yuanganzhao\Desktop\车牌识别\data\0903330600200000000.jpg     区域(x:1257, y: 946, w: 105, h:  32)            蓝牌-粤KPG656
C:\Users\yuanganzhao\Desktop\车牌识别\data\0903367300200000000.jpg     区域(x:1138, y: 943, w: 108, h:  32)            蓝牌-粤K91129
C:\Users\yuanganzhao\Desktop\车牌识别\data\0903473700200000000.jpg     区域(x:1245, y: 954, w:  98, h:  30)            蓝牌-粤KDW266
C:\Users\yuanganzhao\Desktop\车牌识别\data\0903509600200000000.jpg     区域(x:1181, y: 958, w:  98, h:  31)            蓝牌-粤KEH508
C:\Users\yuanganzhao\Desktop\车牌识别\data\0904266100200000000.jpg     区域(x:1218, y: 964, w:  96, h:  30)            蓝牌-粤K88370
C:\Users\yuanganzhao\Desktop\车牌识别\data\0904350700200000000.jpg     区域(x:1129, y: 981, w:  98, h:  28)            蓝牌-粤CBK680
C:\Users\yuanganzhao\Desktop\车牌识别\data\0905594800200000000.jpg     区域(x:1190, y: 956, w: 103, h:  33)            蓝牌-粤KB3513
C:\Users\yuanganzhao\Desktop\车牌识别\data\0906198100200000000.jpg     区域(x:1171, y: 876, w: 101, h:  28)            黄牌-粤K14137
C:\Users\yuanganzhao\Desktop\车牌识别\data\0906380000200000000.jpg     区域(x:1055, y: 974, w: 105, h:  32)            蓝牌-粤KA6550
